	Classifier	Threshold	Accuracy	Precision	Recall	F-Score	Time	Discarteds	Len Activities
0	ExtraTreesClassifier	0.05	0.7834919243686498	0.7861377223321343	0.7834919243686498	0.7690969979438016	0.00038643823715827345	0.0	7.266666666666667
0	ExtraTreesClassifier	0.1	0.7834919243686498	0.7861377223321343	0.7834919243686498	0.7690969979438016	0.0003859714545640868	0.0	7.266666666666667
0	ExtraTreesClassifier	0.15000000000000002	0.7834919243686498	0.7861377223321343	0.7834919243686498	0.7690969979438016	0.0003843877868937722	0.0	7.266666666666667
0	ExtraTreesClassifier	0.2	0.783521325145411	0.7861271637199369	0.783521325145411	0.769119690883031	0.00038530506765381187	0.0	7.266666666666667
0	ExtraTreesClassifier	0.25	0.7840571685575687	0.7869080735010435	0.7840571685575687	0.7696962004950039	0.00038464773218568546	0.0	7.266666666666667
0	ExtraTreesClassifier	0.3	0.7872723338366217	0.7904998203341633	0.7872723338366217	0.7729990065852036	0.00038449565715521853	0.0	7.266666666666667
0	ExtraTreesClassifier	0.35000000000000003	0.7952491407137537	0.797722942425801	0.7952491407137537	0.7807424657171257	0.00037960965449683584	0.0	7.253333333333333
0	ExtraTreesClassifier	0.4	0.8064798976748843	0.8063409200592229	0.8064798976748843	0.7917597170537539	0.00037360564033423144	0.0	7.24
0	ExtraTreesClassifier	0.45	0.8208902250268718	0.8216834255310563	0.8208902250268718	0.8067789456605418	0.00036443843003886614	0.0	7.226666666666667
0	ExtraTreesClassifier	0.5	0.8341619848516473	0.8331921383160888	0.8341619848516473	0.8202786362967806	0.0003543434001023015	0.0	7.16
0	ExtraTreesClassifier	0.55	0.84943226513413	0.846792587622861	0.84943226513413	0.8354656576127653	0.000343359199513705	0.0	7.04
0	ExtraTreesClassifier	0.6000000000000001	0.8639356602115698	0.8607857035792524	0.8639356602115698	0.8508832673139887	0.0003347664152029229	0.0	6.933333333333334
0	ExtraTreesClassifier	0.6500000000000001	0.8777788898729412	0.8764785782663278	0.8777788898729412	0.866328644473926	0.0003230951387767221	0.0	6.773333333333333
0	ExtraTreesClassifier	0.7000000000000001	0.8907369741735675	0.8912503171825272	0.8907369741735675	0.8803763954907481	0.0003126618912272254	0.0	6.466666666666667
0	ExtraTreesClassifier	0.7500000000000001	0.9006786384879584	0.9038911563072639	0.9006786384879584	0.8916310854991282	0.000300930691551492	0.0	6.08
0	ExtraTreesClassifier	0.8	0.9108475144291243	0.9169555447313635	0.9108475144291243	0.9022171685203713	0.00028679816405808873	0.0	5.706666666666667
0	ExtraTreesClassifier	0.8500000000000001	0.9205606111536396	0.9299678519330749	0.9205606111536396	0.9129048610539715	0.0002737584777272707	0.0	5.213333333333333
0	ExtraTreesClassifier	0.9000000000000001	0.9312317923592524	0.9450724967308952	0.9312317923592524	0.9232954575714095	0.00025459007841955824	0.0	4.413333333333333
0	ExtraTreesClassifier	0.9500000000000001	0.9338817362923805	0.9414469847402164	0.9338817362923805	0.9251881736396999	0.00022901264776294757	0.0	3.7333333333333334
